city,size_rank,date,rent,value,newconstruciton_count,newconstruciton_pricepersqft,rent_affordability,home_owner_affordability,years_for_downpayment,new_renter_income_needed,affordable_home_price,median_sale_price,unemployment,cpi,empl_services,empl_total_nonfarm,empl_mining,empl_wholesale,empl_localgov,empl_horeca,empl_professional_and_business_services,empl_transport_and_utilities,empl_information,empl_finance,empl_manufacuring,salary_hourly,electricity_price,population,fedfunds_rate
us,0.0,2017-03-31,1366.2815523118727,207999.670116702,,,0.2632912771812989,0.2395326706582813,7.009593226332644,52333.1823298253,289785.30521305365,200000.0,4.4,243.892,103693.0,145976.0,659.0,5808.5,14356.0,15941.0,20431.0,27302.0,2813.0,8407.0,12393.0,26.11,0.134,326207.0,0.79
us,0.0,2017-04-30,1377.7741192260903,209257.1245107384,,,0.2628115439791177,0.2366073440913354,7.0126574496753005,52532.89244057816,295821.17188672704,204667.0,4.4,244.193,103853.0,146173.0,669.0,5807.5,14368.0,16006.0,20464.0,27299.0,2804.0,8424.0,12400.0,26.17,0.135,326371.0,0.9
us,0.0,2017-05-31,1387.8162572003823,210396.4188547133,,,0.2623878561607857,0.2358844796387508,7.0132392733479625,52726.27562388642,298474.8929846088,212000.0,4.4,244.004,104027.0,146389.0,675.0,5805.8,14358.0,16046.0,20525.0,27307.0,2801.0,8436.0,12409.0,26.21,0.137,326548.0,0.91
us,0.0,2017-06-30,1395.4727440661316,211462.60631016357,,,0.2622531500104548,0.2341458997995953,7.024316394432725,52880.225441169074,302659.1249936916,219333.0,4.3,244.163,104165.0,146588.0,679.0,5811.6,14381.0,16087.0,20559.0,27320.0,2811.0,8452.0,12422.0,26.26,0.142,326743.0,1.04
us,0.0,2017-07-31,1400.2881445243092,212361.81995822352,,,0.2622469112094343,0.2356049650729318,7.032351933400356,53043.47531507543,301730.60763919784,223667.0,4.3,244.243,104326.0,146772.0,681.0,5814.3,14390.0,16122.0,20599.0,27324.0,2809.0,8465.0,12423.0,26.36,0.143,326939.0,1.15
us,0.0,2017-08-31,1401.8378900554942,213269.8806761137,,,0.2622116364730207,0.2342300696607808,7.043209369273254,53184.70566237051,305199.0503931721,224333.0,4.4,245.183,104443.0,146907.0,685.0,5816.2,14339.0,16150.0,20640.0,27332.0,2813.0,8476.0,12467.0,26.38,0.142,327140.0,1.16
us,0.0,2017-09-30,1403.1200105747373,214223.40187990156,,,0.262916794622052,0.2336005461124041,7.069351790886823,53369.87494356414,307675.13338463113,220967.0,4.3,246.435,104489.0,146999.0,687.0,5814.6,14390.0,16140.0,20636.0,27351.0,2816.0,8479.0,12477.0,26.49,0.142,327342.0,1.15
us,0.0,2017-10-31,1402.7387399380227,215311.8815361842,,,0.2635920749914674,0.2363786270847583,7.102131450931004,53532.57509738368,305065.5790813006,217633.0,4.2,246.626,104576.0,147146.0,688.0,5820.8,14407.0,16133.0,20677.0,27371.0,2811.0,8482.0,12490.0,26.49,0.137,327528.0,1.15
us,0.0,2017-11-30,1403.6739025297477,216498.31599853045,,,0.2643550999669625,0.2380091378583576,7.137185022575756,53717.02829279044,304387.8595217189,216300.0,4.2,247.284,104730.0,147375.0,693.0,5822.4,14427.0,16160.0,20691.0,27419.0,2815.0,8490.0,12505.0,26.53,0.136,327699.0,1.16
us,0.0,2017-12-31,1404.9216999202044,217736.3287880481,,,0.2650229834872258,0.239617493422242,7.170907026791017,53905.63260405491,303821.8971754525,216333.0,4.1,247.805,104820.0,147521.0,693.0,5824.7,14431.0,16183.0,20728.0,27406.0,2818.0,8496.0,12533.0,26.61,0.136,327848.0,1.3
us,0.0,2018-01-31,1409.8690346804433,218969.0356032369,31548.0,137.13446644793322,0.2656990501224983,0.2409331669736009,7.203496170562884,54100.91390331274,303684.4117119342,216333.0,4.0,248.859,104939.0,147667.0,700.0,5824.1,14428.0,16209.0,20787.0,27374.0,2817.0,8503.0,12561.0,26.73,0.135,327969.0,1.41
us,0.0,2018-02-28,1417.6559440125886,220157.30743060776,30872.0,137.71186440677965,0.2664528879739506,0.2479743234243872,7.235589933461782,54306.7894637897,295205.3488028296,216667.0,4.1,249.529,105161.0,148054.0,706.0,5826.4,14473.0,16231.0,20825.0,27450.0,2819.0,8527.0,12584.0,26.75,0.135,328085.0,1.42
us,0.0,2018-03-31,1428.558617261555,221528.0354255753,39305.0,139.98252626139853,0.2671012010091375,0.2516458164233665,7.2761016704349535,54473.71829945873,292088.0558698469,219333.0,4.0,249.577,105335.0,148280.0,714.0,5839.9,14471.0,16239.0,20872.0,27520.0,2826.0,8538.0,12610.0,26.86,0.135,328219.0,1.51
us,0.0,2018-04-30,1439.408062348807,222770.73059412895,34546.0,140.0,0.267841470211236,0.2533450533159115,7.312750571390241,54657.90768413922,291552.92175580334,223833.0,4.0,250.227,105417.0,148426.0,722.0,5815.6,14467.0,16226.0,20920.0,27518.0,2838.0,8546.0,12631.0,26.91,0.134,328364.0,1.69
us,0.0,2018-05-31,1448.6520608945073,223978.2876264813,36510.0,143.39139344262296,0.268322045155776,0.2569057614990028,7.345250917535817,54811.11856743295,288479.60649070406,229167.0,3.8,250.792,105649.0,148755.0,726.0,5820.9,14482.0,16261.0,20980.0,27569.0,2841.0,8572.0,12657.0,26.98,0.136,328521.0,1.7
us,0.0,2018-06-30,1455.8664623800776,224865.1101564094,34231.0,144.75557664926436,0.2683140837336373,0.2566970468783041,7.349565908866932,54992.99883844371,289904.0832146951,234167.0,4.0,251.018,105773.0,148968.0,730.0,5823.7,14505.0,16310.0,21029.0,27546.0,2838.0,8590.0,12691.0,27.04,0.139,328692.0,1.82
us,0.0,2018-07-31,1460.3396244956048,225976.17231370465,28930.0,145.0676982591876,0.2682211527880621,0.2560761509752517,7.358599376389321,55179.25215842229,292202.1958240837,236667.0,3.8,251.214,105828.0,149023.0,730.0,5836.6,14462.0,16329.0,21041.0,27547.0,2841.0,8600.0,12711.0,27.09,0.139,328863.0,1.91
us,0.0,2018-08-31,1462.7485676003928,227039.4928710152,29565.0,148.18472270936127,0.2680894422624234,0.2566431776361776,7.36236180057651,55385.304232123046,292827.96154571953,235667.0,3.8,251.663,105995.0,149274.0,739.0,5854.9,14493.0,16343.0,21080.0,27602.0,2840.0,8612.0,12725.0,27.2,0.139,329040.0,1.91
